Device set to use cuda:0
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata.csv
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata_train.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata_train.csv
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (80480, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (75262, 21)
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (20120, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (19178, 21)
[Raptor][__main__]: torch version : 2.7.0+cu126
[Raptor][__main__]: using device : cuda
[Raptor][train_model]: Epoch 1/300, Loss: 1.0743, Accuracy: 42.12%
[Raptor][train_model]: Epoch 2/300, Loss: 1.0681, Accuracy: 42.84%
[Raptor][train_model]: Epoch 3/300, Loss: 1.0625, Accuracy: 43.58%
[Raptor][train_model]: Epoch 4/300, Loss: 1.0586, Accuracy: 43.87%
[Raptor][train_model]: Epoch 5/300, Loss: 1.0548, Accuracy: 44.39%
[Raptor][train_model]: Epoch 6/300, Loss: 1.0521, Accuracy: 44.69%
[Raptor][train_model]: Epoch 7/300, Loss: 1.0497, Accuracy: 44.86%
[Raptor][train_model]: Epoch 8/300, Loss: 1.0464, Accuracy: 45.13%
[Raptor][train_model]: Epoch 9/300, Loss: 1.0432, Accuracy: 45.53%
[Raptor][train_model]: Epoch 10/300, Loss: 1.0395, Accuracy: 45.93%
[Raptor][train_model]: Epoch 11/300, Loss: 1.0361, Accuracy: 46.39%
[Raptor][train_model]: Epoch 12/300, Loss: 1.0345, Accuracy: 46.59%
[Raptor][train_model]: Epoch 13/300, Loss: 1.0308, Accuracy: 46.94%
[Raptor][train_model]: Epoch 14/300, Loss: 1.0284, Accuracy: 47.15%
[Raptor][train_model]: Epoch 15/300, Loss: 1.0262, Accuracy: 47.22%
[Raptor][train_model]: Epoch 16/300, Loss: 1.0223, Accuracy: 47.70%
[Raptor][train_model]: Epoch 17/300, Loss: 1.0197, Accuracy: 47.97%
[Raptor][train_model]: Epoch 18/300, Loss: 1.0158, Accuracy: 48.32%
[Raptor][train_model]: Epoch 19/300, Loss: 1.0139, Accuracy: 48.34%
[Raptor][train_model]: Epoch 20/300, Loss: 1.0112, Accuracy: 48.67%
[Raptor][train_model]: Epoch 21/300, Loss: 1.0080, Accuracy: 48.83%
[Raptor][train_model]: Epoch 22/300, Loss: 1.0054, Accuracy: 49.15%
[Raptor][train_model]: Epoch 23/300, Loss: 1.0015, Accuracy: 49.60%
[Raptor][train_model]: Epoch 24/300, Loss: 0.9987, Accuracy: 49.72%
[Raptor][train_model]: Epoch 25/300, Loss: 0.9956, Accuracy: 49.96%
[Raptor][train_model]: Epoch 26/300, Loss: 0.9907, Accuracy: 50.40%
[Raptor][train_model]: Epoch 27/300, Loss: 0.9875, Accuracy: 50.61%
[Raptor][train_model]: Epoch 28/300, Loss: 0.9846, Accuracy: 50.64%
[Raptor][train_model]: Epoch 29/300, Loss: 0.9813, Accuracy: 51.02%
[Raptor][train_model]: Epoch 30/300, Loss: 0.9784, Accuracy: 51.32%
[Raptor][train_model]: Epoch 31/300, Loss: 0.9755, Accuracy: 51.58%
[Raptor][train_model]: Epoch 32/300, Loss: 0.9710, Accuracy: 51.88%
[Raptor][train_model]: Epoch 33/300, Loss: 0.9669, Accuracy: 52.31%
[Raptor][train_model]: Epoch 34/300, Loss: 0.9625, Accuracy: 52.53%
[Raptor][train_model]: Epoch 35/300, Loss: 0.9586, Accuracy: 52.83%
[Raptor][train_model]: Epoch 36/300, Loss: 0.9567, Accuracy: 52.98%
[Raptor][train_model]: Epoch 37/300, Loss: 0.9523, Accuracy: 53.23%
[Raptor][train_model]: Epoch 38/300, Loss: 0.9498, Accuracy: 53.37%
[Raptor][train_model]: Epoch 39/300, Loss: 0.9449, Accuracy: 53.73%
[Raptor][train_model]: Epoch 40/300, Loss: 0.9409, Accuracy: 54.23%
[Raptor][train_model]: Epoch 41/300, Loss: 0.9364, Accuracy: 54.20%
[Raptor][train_model]: Epoch 42/300, Loss: 0.9345, Accuracy: 54.64%
[Raptor][train_model]: Epoch 43/300, Loss: 0.9296, Accuracy: 55.00%
[Raptor][train_model]: Epoch 44/300, Loss: 0.9269, Accuracy: 54.85%
[Raptor][train_model]: Epoch 45/300, Loss: 0.9223, Accuracy: 55.20%
[Raptor][train_model]: Epoch 46/300, Loss: 0.9197, Accuracy: 55.43%
[Raptor][train_model]: Epoch 47/300, Loss: 0.9156, Accuracy: 55.77%
[Raptor][train_model]: Epoch 48/300, Loss: 0.9121, Accuracy: 55.91%
[Raptor][train_model]: Epoch 49/300, Loss: 0.9078, Accuracy: 56.15%
[Raptor][train_model]: Epoch 50/300, Loss: 0.9027, Accuracy: 56.48%
[Raptor][train_model]: Epoch 51/300, Loss: 0.8987, Accuracy: 56.75%
[Raptor][train_model]: Epoch 52/300, Loss: 0.8955, Accuracy: 56.91%
[Raptor][train_model]: Epoch 53/300, Loss: 0.8935, Accuracy: 57.21%
[Raptor][train_model]: Epoch 54/300, Loss: 0.8893, Accuracy: 57.35%
[Raptor][train_model]: Epoch 55/300, Loss: 0.8841, Accuracy: 57.73%
[Raptor][train_model]: Epoch 56/300, Loss: 0.8810, Accuracy: 58.11%
[Raptor][train_model]: Epoch 57/300, Loss: 0.8773, Accuracy: 58.28%
[Raptor][train_model]: Epoch 58/300, Loss: 0.8742, Accuracy: 58.51%
[Raptor][train_model]: Epoch 59/300, Loss: 0.8712, Accuracy: 58.52%
[Raptor][train_model]: Epoch 60/300, Loss: 0.8685, Accuracy: 58.75%
[Raptor][train_model]: Epoch 61/300, Loss: 0.8610, Accuracy: 59.03%
[Raptor][train_model]: Epoch 62/300, Loss: 0.8579, Accuracy: 59.31%
[Raptor][train_model]: Epoch 63/300, Loss: 0.8547, Accuracy: 59.54%
[Raptor][train_model]: Epoch 64/300, Loss: 0.8513, Accuracy: 59.73%
[Raptor][train_model]: Epoch 65/300, Loss: 0.8481, Accuracy: 59.93%
[Raptor][train_model]: Epoch 66/300, Loss: 0.8445, Accuracy: 60.10%
[Raptor][train_model]: Epoch 67/300, Loss: 0.8369, Accuracy: 60.62%
[Raptor][train_model]: Epoch 68/300, Loss: 0.8361, Accuracy: 60.59%
[Raptor][train_model]: Epoch 69/300, Loss: 0.8341, Accuracy: 60.72%
[Raptor][train_model]: Epoch 70/300, Loss: 0.8269, Accuracy: 61.14%
[Raptor][train_model]: Epoch 71/300, Loss: 0.8247, Accuracy: 61.11%
[Raptor][train_model]: Epoch 72/300, Loss: 0.8217, Accuracy: 61.26%
[Raptor][train_model]: Epoch 73/300, Loss: 0.8178, Accuracy: 61.71%
[Raptor][train_model]: Epoch 74/300, Loss: 0.8162, Accuracy: 61.79%
[Raptor][train_model]: Epoch 75/300, Loss: 0.8094, Accuracy: 62.18%
[Raptor][train_model]: Epoch 76/300, Loss: 0.8087, Accuracy: 62.10%
[Raptor][train_model]: Epoch 77/300, Loss: 0.8025, Accuracy: 62.67%
[Raptor][train_model]: Epoch 78/300, Loss: 0.7993, Accuracy: 62.66%
[Raptor][train_model]: Epoch 79/300, Loss: 0.7984, Accuracy: 62.85%
[Raptor][train_model]: Epoch 80/300, Loss: 0.7942, Accuracy: 63.39%
[Raptor][train_model]: Epoch 81/300, Loss: 0.7916, Accuracy: 63.19%
[Raptor][train_model]: Epoch 82/300, Loss: 0.7865, Accuracy: 63.53%
[Raptor][train_model]: Epoch 83/300, Loss: 0.7831, Accuracy: 63.80%
[Raptor][train_model]: Epoch 84/300, Loss: 0.7812, Accuracy: 63.83%
[Raptor][train_model]: Epoch 85/300, Loss: 0.7788, Accuracy: 64.18%
[Raptor][train_model]: Epoch 86/300, Loss: 0.7745, Accuracy: 64.38%
[Raptor][train_model]: Epoch 87/300, Loss: 0.7707, Accuracy: 64.57%
[Raptor][train_model]: Epoch 88/300, Loss: 0.7661, Accuracy: 64.80%
[Raptor][train_model]: Epoch 89/300, Loss: 0.7627, Accuracy: 65.04%
[Raptor][train_model]: Epoch 90/300, Loss: 0.7612, Accuracy: 65.04%
[Raptor][train_model]: Epoch 91/300, Loss: 0.7561, Accuracy: 65.38%
[Raptor][train_model]: Epoch 92/300, Loss: 0.7542, Accuracy: 65.42%
[Raptor][train_model]: Epoch 93/300, Loss: 0.7559, Accuracy: 65.31%
[Raptor][train_model]: Epoch 94/300, Loss: 0.7482, Accuracy: 65.81%
[Raptor][train_model]: Epoch 95/300, Loss: 0.7458, Accuracy: 65.73%
[Raptor][train_model]: Epoch 96/300, Loss: 0.7415, Accuracy: 66.14%
[Raptor][train_model]: Epoch 97/300, Loss: 0.7375, Accuracy: 66.45%
[Raptor][train_model]: Epoch 98/300, Loss: 0.7376, Accuracy: 66.50%
[Raptor][train_model]: Epoch 99/300, Loss: 0.7332, Accuracy: 66.70%
[Raptor][train_model]: Epoch 100/300, Loss: 0.7316, Accuracy: 66.85%
[Raptor][train_model]: Epoch 101/300, Loss: 0.7286, Accuracy: 66.88%
[Raptor][train_model]: Epoch 102/300, Loss: 0.7267, Accuracy: 66.84%
[Raptor][train_model]: Epoch 103/300, Loss: 0.7218, Accuracy: 67.21%
[Raptor][train_model]: Epoch 104/300, Loss: 0.7199, Accuracy: 67.51%
[Raptor][train_model]: Epoch 105/300, Loss: 0.7172, Accuracy: 67.44%
[Raptor][train_model]: Epoch 106/300, Loss: 0.7175, Accuracy: 67.45%
[Raptor][train_model]: Epoch 107/300, Loss: 0.7100, Accuracy: 67.93%
[Raptor][train_model]: Epoch 108/300, Loss: 0.7082, Accuracy: 67.96%
[Raptor][train_model]: Epoch 109/300, Loss: 0.7070, Accuracy: 68.06%
[Raptor][train_model]: Epoch 110/300, Loss: 0.7067, Accuracy: 68.19%
[Raptor][train_model]: Epoch 111/300, Loss: 0.6992, Accuracy: 68.32%
[Raptor][train_model]: Epoch 112/300, Loss: 0.6974, Accuracy: 68.65%
[Raptor][train_model]: Epoch 113/300, Loss: 0.6933, Accuracy: 68.90%
[Raptor][train_model]: Epoch 114/300, Loss: 0.6928, Accuracy: 68.74%
[Raptor][train_model]: Epoch 115/300, Loss: 0.6902, Accuracy: 69.09%
